MNG dose (mcg by ml),cell N,nucleus N,Area (px),Perimeter (px),Circularity,Height (px),Width (px),Gray Value (min),Gray Value (max),Gray Value (Mean),Gray Value (Median),Integrated Density
3,44,2,958,115.982756,0.894929,36,34,20,94,30.693111,27,29404
3,45,1,843,109.547727,0.882736,32,32,21,63,28.858837,28,24328
3,45,2,786,107.305087,0.857811,30,32,22,75,33.697201,31,26486
3,46,1,1016,120.083261,0.885398,36,34,17,78,22.944882,21,23312
3,46,2,957,118.568542,0.855427,36,35,16,63,22.401254,21,21438
3,47,1,1346,141.104076,0.849524,44,39,24,70,35.159733,34,47325
3,47,2,1383,143.204581,0.847458,44,38,22,84,35.334779,34,48868
3,48,1,823,107.740115,0.890953,33,32,23,64,31.255164,29,25723
3,48,2,921,115.497475,0.86761,36,32,21,88,33.653637,31,30995
3,49,1,654,99.012193,0.838321,30,28,25,59,33.498471,32,21908
3,49,2,590,91.890873,0.878046,28,26,26,75,33.791525,32,19937
3,50,1,998,120.961941,0.857123,38,32,18,65,25.932866,24,25881
3,50,2,896,116.376154,0.831361,36,32,18,66,24.735491,23,22163
3,51,1,1009,125.84062,0.800681,38,34,18,49,25.310208,24,25538
3,51,2,1043,128.376154,0.79529,36,38,19,60,26.658677,25,27805
3,52,1,751,105.84062,0.842452,32,30,25,85,33.505992,31,25163
3,52,2,746,103.59798,0.873466,30,30,25,97,35.908847,33,26788
3,53,1,1117,131.012193,0.817786,34,40,17,74,23.820949,22,26608
3,53,2,1211,134.033009,0.847092,38,40,16,61,24.685384,23,29894
3,54,1,821,107.154329,0.898532,32,33,20,77,27.347138,25,22452
3,54,2,785,104.325902,0.906349,31,32,20,49,25.811465,25,20262
3,55,1,1169,129.982756,0.869467,41,36,20,76,28.983747,27,33882
3,55,2,978,119.982756,0.853711,41,31,17,40,23.53681,23,23019
3,56,1,1483,149.053824,0.838812,46,42,18,85,29.11733,27,43181
3,56,2,1342,139.689863,0.864236,44,38,16,55,25.551416,24,34290
3,57,1,940,118.325902,0.843681,34,36,15,51,22.407447,21,21063
3,57,2,827,109.254834,0.870631,32,32,17,97,22.574365,21,18669
3,58,1,1085,126.618795,0.850439,38,36,21,66,30.291244,30,32866
3,58,2,1042,124.568542,0.843841,36,38,18,87,29.015355,28,30234
3,59,1,534,87.062446,0.885298,25,26,20,44,24.26779,24,12959
3,59,2,539,86.183766,0.911901,26,25,19,39,24.280148,23,13087
